khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
29Bình Hưng Hòa,phường,"Phường Bình Hưng Hòa, Phường Sơn Kỳ, Phường Bình Hưng Hòa A",8.47,Bình Hưng Hòa,thành phố Hồ Chí Minh,187950,"621 Tân Kỳ Tân Quý, phường Bình Hưng Hòa A, quận Bình Tân cũ",9040530
29An Phú Đông,phường,"Phường Thạnh Lộc, Phường An Phú Đông",14.59,An Phú Đông,thành phố Hồ Chí Minh,179115,"Trụ sở UBND phường Thạnh Lộc, quận 12 cũ",14730826
34Bạc Liêu,phường,"Phường 1 (thành phố Bạc Liêu), Phường 2 (thành phố Bạc Liêu), Phường 7 (thành phố Bạc Liêu), Phường 8 (thành phố Bạc Liêu), Phường 3",5.98,Bạc Liêu,tỉnh Cà Mau,24456,"Số 12, Đường Trần Phú, phường Bạc Liêu",29922464
34Vĩnh Trạch,phường,"Phường 5 (thành phố Bạc Liêu), Xã Vĩnh Trạch",10.22,Vĩnh Trạch,tỉnh Cà Mau,23085,đang cập nhật,50210428
34Hiệp Thành,phường,"Phường Nhà Mát, Xã Vĩnh Trạch Đông, Xã Hiệp Thành",29.05,Hiệp Thành,tỉnh Cà Mau,11864,đang cập nhật,68597974
29Bình Trị Đông,phường,"Phường Bình Trị Đông, Phường Bình Hưng Hòa A, Phường Bình Trị Đông A",7.15,Bình Trị Đông,thành phố Hồ Chí Minh,165142,"162 Mã Lò, phường Bình Trị Đông A, quận Bình Tân cũ",7122899
29Bình Tân,phường,"Phường Bình Hưng Hòa B, Phường Bình Trị Đông A, Phường Tân Tạo",11.25,Bình Tân,thành phố Hồ Chí Minh,161851,"43 đường số 16, phường Bình Hưng Hòa B, quận Bình Tân cũ",10557157
29An Lạc,phường,"Phường Bình Trị Đông B, Phường An Lạc A, Phường An Lạc",10.47,An Lạc,thành phố Hồ Chí Minh,172134,"521 Kinh Dương Vương, phường An Lạc, quận Bình Tân cũ",10358376
34Giá Rai,phường,"Phường 1 (thị xã Giá Rai), Phường Hộ Phòng, Xã Phong Thạnh, Xã Phong Thạnh A",11.76,Giá Rai,tỉnh Cà Mau,21974,đang cập nhật,105485330
34Láng Tròn,phường,"Phường Láng Tròn, Xã Phong Tân, Xã Phong Thạnh Đông",32.18,Láng Tròn,tỉnh Cà Mau,21468,đang cập nhật,107394035
29Tân Tạo,phường,"Xã Tân Kiên, Phường Tân Tạo A, Phường Tân Tạo",14.7,Tân Tạo,thành phố Hồ Chí Minh,113363,"1409 Tỉnh lộ 10, phường Tân Tạo A, quận Bình Tân cũ",15716016
34An Xuyên,phường,"Phường 1 (thành phố Cà Mau), Phường 2 (thành phố Cà Mau), Phường 9, Phường Tân Xuyên, Xã An Xuyên",69.9,An Xuyên,tỉnh Cà Mau,81303,"Số 07, Khu Dân cư phường An Xuyên",70572286
34Tân Thành,phường,"Phường 5 (thành phố Cà Mau), Phường Tân Thành, Xã Tân Thành, Phường 7 (thành phố Cà Mau), Phường 6, Xã Định Bình, Xã Tắc Vân",48.42,Tân Thành,tỉnh Cà Mau,83758,đang cập nhật,50231192
34Lý Văn Lâm,phường,"Phường 8 (thành phố Cà Mau), Xã Lý Văn Lâm, Xã Lợi An (phần còn lại sau khi sáp nhập vào xã Trần Văn Thời, xã Lương Thế Trân)",44.5,Lý Văn Lâm,tỉnh Cà Mau,50014,đang cập nhật,45929779
34Hoà Thành,phường,"Xã Hòa Tân, Xã Hòa Thành, Phường 7 (thành phố Cà Mau) (phần còn lại sau khi sáp nhập vào phường Tân Thành), Phường 6 (phần còn lại sau khi sáp nhập vào phường Tân Thành), Xã Định Bình (phần còn lại sau khi sáp nhập vào phường Tân Thành), Xã Tắc Vân (phần còn lại sau khi sáp nhập vào phường Tân Thành)",97.29,Hoà Thành,tỉnh Cà Mau,47167,đang cập nhật,97020327
29Tân Thuận,phường,"Phường Bình Thuận, Phường Tân Thuận Đông, Phường Tân Thuận Tây",10.16,Tân Thuận,thành phố Hồ Chí Minh,148090,"342 Huỳnh Tấn Phát, quận 7 cũ",10369634
29Tân Hưng,phường,"Phường Tân Phong, Phường Tân Quy, Phường Tân Kiểng, Phường Tân Hưng",8.54,Tân Hưng,thành phố Hồ Chí Minh,153674,"9 đường 2A phường Tân Hưng, quận 7 cũ",8537584
29Phú Thuận,phường,"Phường Phú Thuận, Phường Phú Mỹ (Quận 7)",10.55,Phú Thuận,thành phố Hồ Chí Minh,84089,"1203 Huỳnh Tấn Phát, khu phố 3, phường Phú Thuận, quận 7 cũ",10568914
33Cái Khế,phường,"Phường An Hòa, Phường Cái Khế, Phường Bùi Hữu Nghĩa",10.04,Cái Khế,thành phố Cần Thơ,57688,UBND phường An Hòa,8198887
33Ninh Kiều,phường,"Phường Tân An, Phường Thới Bình, Phường Xuân Khánh",5.42,Ninh Kiều,thành phố Cần Thơ,119547,UBND quận Ninh Kiều,5472528
33Tân An,phường,"Phường An Khánh, Phường Hưng Lợi",8.06,Tân An,thành phố Cần Thơ,85997,UBND phường Hưng Lợi,8122206
33An Bình,phường,"Phường An Bình, Xã Mỹ Khánh, Phường Long Tuyền",18.39,An Bình,thành phố Cần Thơ,5015,UBND phường An Bình,18165654
33Bình Thủy,phường,"Phường An Thới, Phường Bình Thủy, Phường Bùi Hữu Nghĩa (phần còn lại sau khi sáp nhập vào phường Cái Khế)",15.17,Bình Thủy,thành phố Cần Thơ,62483,đang cập nhật,16914489
33Thới An Đông,phường,"Phường Trà An, Phường Trà Nóc, Phường Thới An Đông",25.04,Thới An Đông,thành phố Cần Thơ,39401,UBND phường Thới An Đông,25023430
33Long Tuyền,phường,"Phường Long Hòa, Phường Long Tuyền (phần còn lại sau khi sáp nhập vào phường An Bình)",28.48,Long Tuyền,thành phố Cần Thơ,45292,UBND phường Long Tuyền,29061820
33Cái Răng,phường,"Phường Lê Bình, Phường Thường Thạnh, Phường Ba Láng, Phường Hưng Thạnh",26.88,Cái Răng,thành phố Cần Thơ,71106,Quận ủy - UBND quận Cái Răng (cũ),27050607
33Hưng Phú,phường,"Phường Tân Phú, Phường Phú Thứ, Phường Hưng Phú",40.93,Hưng Phú,thành phố Cần Thơ,58543,UBND quận Cái Răng (mới),41190127
33Thốt Nốt,phường,"Phường Thuận An (quận Thốt Nốt), Phường Thới Thuận, Phường Thốt Nốt (phần còn lại sau khi sáp nhập vào phường Thuận Hưng)",23.61,Thốt Nốt,thành phố Cần Thơ,61387,Quận ủy Thốt Nốt,23945275
33Trung Nhứt,phường,"Phường Thạnh Hòa, Phường Trung Nhứt, Xã Trung An",30.84,Trung Nhứt,thành phố Cần Thơ,37469,UBND phường Thạnh Hòa,31131353
33Thuận Hưng,phường,"Phường Trung Kiên, Phường Thuận Hưng, Phường Thốt Nốt",31.13,Thuận Hưng,thành phố Cần Thơ,56878,UBND quận Thốt Nốt,31136987
33Ngã Bảy,phường,"Phường Lái Hiếu, Phường Hiệp Thành, Phường Ngã Bảy",25.17,Ngã Bảy,thành phố Cần Thơ,37861,UBND xã Ngã Bảy,25349861
33Long Mỹ,phường,"Phường Thuận An (thị xã Long Mỹ), Xã Long Trị, Xã Long Trị A",51.4,Long Mỹ,thành phố Cần Thơ,35865,Thị uỷ Long Mỹ,51732569
33Long Bình,phường,"Phường Bình Thạnh, Phường Vĩnh Tường, Xã Long Bình",40.2,Long Bình,thành phố Cần Thơ,26378,UBND thị xã Long Mỹ,40549261
33Long Phú 1,phường,"Phường Trà Lồng, Xã Tân Phú, Xã Long Phú",57.67,Long Phú 1,thành phố Cần Thơ,30365,UBND xã Long Phú,58168534
33Mỹ Xuyên,phường,"Phường 10, Thị trấn Mỹ Xuyên, Xã Đại Tâm",48.34,Mỹ Xuyên,thành phố Cần Thơ,51769,UBND thị trấn Mỹ Xuyên,48711721
32Châu Đốc,phường,"Phường Vĩnh Nguơn, Phường Châu Phú A, Phường Châu Phú B, Phường Vĩnh Mỹ, Xã Vĩnh Châu",41.32,Châu Đốc,tỉnh An Giang,97438,Phường Châu Phú B,41108483
32Vĩnh Tế,phường,"Phường Núi Sam, Xã Vĩnh Tế, Xã Vĩnh Châu (phần còn lại sau khi sáp nhập vào phường Châu Đốc)",64.25,Vĩnh Tế,tỉnh An Giang,40222,UBND phường Núi Sam,64185675
32Rạch Giá,phường,"Phường Vĩnh Quang, Phường Vĩnh Thanh, Phường Vĩnh Thanh Vân, Phường Vĩnh Lạc, Phường An Hòa, Phường Vĩnh Hiệp, Phường An Bình, Phường Rạch Sỏi, Phường Vĩnh Lợi",45.53,Rạch Giá,tỉnh An Giang,250661,Thành ủy TP Rạch Giá,45958938
32Vĩnh Thông,phường,"Phường Vĩnh Thông, Xã Phi Thông, Xã Mỹ Lâm",95.89,Vĩnh Thông,tỉnh An Giang,55185,UBND phường Vĩnh Thông,95945281
32Tô Châu,phường,"Phường Tô Châu, Xã Thuận Yên, Xã Dương Hòa",79.77,Tô Châu,tỉnh An Giang,25865,UBND phường Tô Châu,77037014
32Hà Tiên,phường,"Phường Pháo Đài, Phường Bình San, Phường Mỹ Đức, Phường Đông Hồ",61.35,Hà Tiên,tỉnh An Giang,40609,UBND TP Hà Tiên,61918902
31Cao Lãnh,phường,"Phường 1 (thành phố Cao Lãnh), Phường 3, Phường 4, Phường 6, Phường Hòa Thuận, Xã Hòa An, Xã Tịnh Thới, Xã Tân Thuận Tây, Xã Tân Thuận Đông",73.3,Cao Lãnh,tỉnh Đồng Tháp,137387,UBND phường 1,74108945
31Mỹ Ngãi,phường,"Phường Mỹ Ngãi, Xã Mỹ Tân (thành phố Cao Lãnh), Xã Tân Nghĩa",49.05,Mỹ Ngãi,tỉnh Đồng Tháp,đang cập nhật,UBND xã Mỹ Tân,49470112
31Mỹ Trà,phường,"Phường Mỹ Phú, Xã Nhị Mỹ, Xã An Bình, Xã Mỹ Trà",46.3,Mỹ Trà,tỉnh Đồng Tháp,46757,UBND phường Mỹ Phú,46643054
31Sa Đéc,phường,"Phường 1, Phường 2, Phường 3, Phường 4 (thành phố Sa Đéc), Phường An Hòa, Phường Tân Quy Đông, Xã Tân Khánh Đông, Xã Tân Quy Tây",46.9,Sa Đéc,tỉnh Đồng Tháp,104509,UBND phường 1,47246929
31Hồng Ngự,phường,"Phường An Thạnh, Xã Bình Thạnh, Xã Tân Hội (thành phố Hồng Ngự)",64.2,Hồng Ngự,tỉnh Đồng Tháp,53945,UBND phường An Thạnh,64770766
31Thường Lạc,phường,"Phường An Lạc, Xã Thường Thới Hậu A, Xã Thường Lạc",43.7,Thường Lạc,tỉnh Đồng Tháp,38225,UBND phường An Lạc,43960346
31An Bình,phường,"Phường An Lộc, Phường An Bình A, Phường An Bình B",18.39,An Bình,tỉnh Đồng Tháp,5015,UBND phường An Lộc,50563608
32Tân Châu,phường,"Phường Long Thạnh, Phường Long Sơn",17.39,Tân Châu,tỉnh An Giang,33506,Phường Long Thạnh,17526714
32Long Phú,phường,"Phường Long Hưng, Phường Long Châu, Phường Long Phú",19.21,Long Phú,tỉnh An Giang,46826,Phường Long Hưng,19549359
32Chi Lăng,phường,"Phường Núi Voi, Phường Chi Lăng, Xã Tân Lợi",51.17,Chi Lăng,tỉnh An Giang,28401,UBND phường Chi Lăng,51638468
32Tịnh Biên,phường,"Phường An Phú, Phường Tịnh Biên, Xã An Nông",75.57,Tịnh Biên,tỉnh An Giang,34865,UBND phường Tịnh Biên,74481874
32Thới Sơn,phường,"Phường Nhơn Hưng, Phường Nhà Bàng, Phường Thới Sơn",49.36,Thới Sơn,tỉnh An Giang,33045,Phường Nhà Bàng,48870101
31Mỹ Tho,phường,"Phường 1 (thành phố Mỹ Tho), Phường 2 (thành phố Mỹ Tho), Phường Tân Long",6.4,Mỹ Tho,tỉnh Đồng Tháp,66766,UBND TP Mỹ Tho,6330161
31Đạo Thạnh,phường,"Phường 4 (thành phố Mỹ Tho), Phường 5 (thành phố Mỹ Tho), Xã Đạo Thạnh",14.3,Đạo Thạnh,tỉnh Đồng Tháp,7337,UBND phường 5,14290087
31Trung An,phường,"Phường 10, Xã Phước Thạnh, Xã Trung An",23.4,Trung An,tỉnh Đồng Tháp,70479,UBND xã Trung An,23576348
31Mỹ Phong,phường,"Phường 9 (thành phố Mỹ Tho), Xã Tân Mỹ Chánh, Xã Mỹ Phong",23.0,Mỹ Phong,tỉnh Đồng Tháp,50731,UBND phường 9,23237016
31Gò Công,phường,"Phường 1 (thành phố Gò Công), Phường 5 (thành phố Gò Công), Phường Long Hòa",10.1,Gò Công,tỉnh Đồng Tháp,36124,UBND phường 1,10102392
31Sơn Qui,phường,"Phường Long Hưng, Xã Tân Trung, Xã Bình Đông",49.49,Sơn Qui,tỉnh Đồng Tháp,đang cập nhật,UBND xã Tân Trung,49729444
31Long Thuận,phường,"Phường 2 (thành phố Gò Công), Phường Long Thuận",8.3,Long Thuận,tỉnh Đồng Tháp,29715,UBND TP Gò Công,8291972
31Thới Sơn,phường,"Phường 6 (thành phố Mỹ Tho), Xã Thới Sơn",49.36,Thới Sơn,tỉnh Đồng Tháp,33045,UBND phường 6,15403434
31Nhị Quý,phường,"Phường Nhị Mỹ, Xã Phú Quý, Xã Nhị Quý",20.12,Nhị Quý,tỉnh Đồng Tháp,đang cập nhật,UBND xã Nhị Quý,21275033
31Thanh Hòa,phường,"Phường 2 (thị xã Cai Lậy), Xã Tân Bình (thị xã Cai Lậy), Xã Thanh Hòa",19.5,Thanh Hòa,tỉnh Đồng Tháp,20903,UBND phường 2,19465528
22Đăk Bla,phường,"Phường Trần Hưng Đạo (thành phố Kon Tum), Lê Lợi, Nguyễn Trãi",14.98,Đăk Bla,tỉnh Quảng Ngãi,đang cập nhật,đang cập nhật,14985353
19Đông Hà,phường,"Phường 1 (thành phố Đông Hà), Phường 3 (thành phố Đông Hà), Phường 4, Phường Đông Giang, Phường Đông Thanh",38.05,Đông Hà,tỉnh Quảng Trị,50915,UBND phường 3 và phường Đông Thanh (cũ),38195176
19Nam Đông Hà,phường,"Phường 2 (thành phố Đông Hà), Phường 5, Phường Đông Lễ, Phường Đông Lương",35.04,Nam Đông Hà,tỉnh Quảng Trị,61204,Trụ sở phân hiệu Đại học Huế (đường Lý Thường Kiệt) và Trung tâm văn hóa phường 5 (cũ),34920041
19Quảng Trị,phường,"Phường 1, Phường 2, Phường 3 (thị xã Quảng Trị), Phường An Đôn, Xã Hải Lệ",72.82,Quảng Trị,tỉnh Quảng Trị,29705,UBND thị xã Quảng Trị (cũ),73542487
19Đồng Hới,phường,"Phường Đức Ninh Đông, Phường Đồng Hải, Phường Đồng Phú, Phường Phú Hải, Phường Hải Thành, Phường Nam Lý, Xã Bảo Ninh, Xã Đức Ninh",41.35,Đồng Hới,tỉnh Quảng Trị,84196,UBND TP Đồng Hới (cũ),41165714
19Đồng Thuận,phường,"Phường Bắc Lý, Xã Lộc Ninh, Xã Quang Phú",26.49,Đồng Thuận,tỉnh Quảng Trị,38521,UBND phường Bắc Lý (cũ),26069886
19Đồng Sơn,phường,"Phường Bắc Nghĩa, Phường Đồng Sơn, Xã Nghĩa Ninh, Xã Thuận Đức",88.03,Đồng Sơn,tỉnh Quảng Trị,32396,UBND phường Đồng Sơn (cũ),88421392
19Ba Đồn,phường,"Phường Quảng Phong, Phường Quảng Long, Phường Ba Đồn, Xã Quảng Hải",20.45,Ba Đồn,tỉnh Quảng Trị,28805,UBND thị xã Ba Đồn (cũ),19963052
19Bắc Gianh,phường,"Phường Quảng Phúc, Phường Quảng Thọ, Phường Quảng Thuận",31.14,Bắc Gianh,tỉnh Quảng Trị,32800,UBND phường Quảng Thọ (cũ),31303151
5Đường Hào,phường,"Phường Dị Sử, Phường Phùng Chí Kiên, Xã Xuân Dục, Xã Hưng Long, Xã Ngọc Lâm",25.62,Đường Hào,tỉnh Hưng Yên,39028,đang cập nhật,25755253
9Yên Bái,phường,"Phường Đồng Tâm, Phường Yên Ninh, Phường Minh Tân, Phường Nguyễn Thái Học, Phường Hồng Hà",16.92,Yên Bái,tỉnh Lào Cai,70391,đang cập nhật,16998216
9Nam Cường,phường,"Phường Nam Cường (thành phố Yên Bái), Xã Minh Bảo, Xã Tuy Lộc, Xã Cường Thịnh",46.09,Nam Cường,tỉnh Lào Cai,17754,đang cập nhật,46641753
9Trung Tâm,phường,"Phường Trung Tâm, Xã Phù Nham, Xã Nghĩa Lợi, Xã Nghĩa Lộ",43.15,Trung Tâm,tỉnh Lào Cai,26888,đang cập nhật,43730820
9Cầu Thia,phường,"Phường Cầu Thia, Xã Thanh Lương, Xã Thạch Lương, Xã Phúc Sơn, Xã Hạnh Sơn",31.84,Cầu Thia,tỉnh Lào Cai,25234,đang cập nhật,31651049
5Thái Bình,phường,"Phường Lê Hồng Phong, Phường Bồ Xuyên, Phường Tiền Phong, Xã Tân Hòa (huyện Vũ Thư), Xã Phúc Thành, Xã Tân Phong, Xã Tân Bình",28.03,Thái Bình,tỉnh Hưng Yên,67922,đang cập nhật,28245326
5Trà Lý,phường,"Phường Hoàng Diệu, Xã Đông Mỹ, Xã Đông Hoà, Xã Đông Thọ, Xã Đông Dương",20.94,Trà Lý,tỉnh Hưng Yên,43929,đang cập nhật,21062246
5Thượng Hồng,phường,"Phường Bạch Sam, Phường Minh Đức, Xã Dương Quang, Xã Hòa Phong",25.41,Thượng Hồng,tỉnh Hưng Yên,37153,đang cập nhật,25587513
5Mỹ Hào,phường,"Phường Bần Yên Nhân, Phường Nhân Hòa, Phường Phan Đình Phùng, Xã Cẩm Xá",28.36,Mỹ Hào,tỉnh Hưng Yên,57676,đang cập nhật,28509654
6Tây Hoa Lư,phường,"Phường Ninh Giang, Xã Trường Yên, Xã Ninh Hòa, Xã Phúc Sơn, Xã Gia Sinh, Xã Gia Tân",84.96,Tây Hoa Lư,tỉnh Ninh BÌnh,46648,Trụ sở xã Trường Yên hiện nay,87945337
6Hoa Lư,phường,"Phường Ninh Mỹ, Phường Ninh Khánh, Phường Đông Thành, Phường Tân Thành, Phường Vân Giang, Phường Nam Thành, Phường Nam Bình, Phường Bích Đào, Xã Ninh Khang, Xã Ninh Nhất, Xã Ninh Tiến",53.72,Hoa Lư,tỉnh Ninh BÌnh,148406,Trụ sở Thành ủy Hoa Lư hiện nay,51246457
6Đông Hoa Lư,phường,"Phường Ninh Phúc, Xã Khánh Hòa, Xã Khánh Phú, Xã Khánh An",25.62,Đông Hoa Lư,tỉnh Ninh BÌnh,34414,Trụ sở xã Khánh Phú hiện nay,25779659
5Vũ Phúc,phường,"Phường Phú Khánh, Xã Nguyên Xá (huyện Vũ Thư), Xã Song An, Xã Trung An, Xã Vũ Phúc",23.99,Vũ Phúc,tỉnh Hưng Yên,41428,đang cập nhật,24111175
5Trần Lãm,phường,"Phường Trần Lãm, Phường Kỳ Bá, Xã Vũ Đông, Xã Vũ Lạc, Xã Vũ Chính, Xã Tây Sơn",34.63,Trần Lãm,tỉnh Hưng Yên,92136,đang cập nhật,34794911
5Trần Hưng Đạo,phường,"Phường Trần Hưng Đạo, Phường Đề Thám, Phường Quang Trung, Xã Phú Xuân",9.32,Trần Hưng Đạo,tỉnh Hưng Yên,45657,đang cập nhật,9310449
6Nam Hoa Lư,phường,"Phường Ninh Phong, Phường Ninh Sơn, Xã Ninh Vân, Xã Ninh An, Xã Ninh Hải",54.3,Nam Hoa Lư,tỉnh Ninh BÌnh,53514,Trụ sở xã Ninh Hải hiện nay,54633174
6Trung Sơn,phường,"Phường Nam Sơn, Phường Trung Sơn, Xã Đông Sơn",38.15,Trung Sơn,tỉnh Ninh BÌnh,31539,Trụ sở Đảng ủy - HĐND - UBND phường Trung Sơn hiện nay,37263445
6Đông A,phường,"Phường Lộc Hòa, Xã Mỹ Thắng, Xã Mỹ Hà",22.07,Đông A,tỉnh Ninh BÌnh,31802,Trụ sở phường Lộc Hòa hiện nay,22218087
6Mỹ Lộc,phường,"Phường Hưng Lộc, Xã Mỹ Thuận, Xã Mỹ Lộc",35.54,Mỹ Lộc,tỉnh Ninh BÌnh,38068,Trụ sở của UBND huyện Mỹ Lộc (cũ),35719223
6Thành Nam,phường,"Phường Mỹ Xá, Xã Đại An",16.03,Thành Nam,tỉnh Ninh BÌnh,30830,Trụ sở phường Mỹ Xá hiện nay,16105770
5Hồng Châu,phường,"Phường Hồng Châu, Xã Quảng Châu, Xã Hoàng Hanh",15.41,Hồng Châu,tỉnh Hưng Yên,18714,đang cập nhật,16052072
5Phố Hiến,phường,"Phường An Tảo, Phường Lê Lợi, Phường Hiến Nam, Phường Minh Khai, Xã Trung Nghĩa, Xã Liên Phương",21.5,Phố Hiến,tỉnh Hưng Yên,68982,đang cập nhật,21630795
5Sơn Nam,phường,"Phường Lam Sơn, Xã Phú Cường, Xã Hùng Cường, Xã Bảo Khê, Xã Ngọc Thanh",23.62,Sơn Nam,tỉnh Hưng Yên,30471,đang cập nhật,21676822
6Nam Định,phường,"Phường Quang Trung (thành phố Nam Định), Phường Vị Xuyên, Phường Lộc Vượng, Phường Cửa Bắc, Phường Trần Hưng Đạo, Phường Năng Tĩnh, Phường Cửa Nam, Xã Mỹ Phúc",19.91,Nam Định,tỉnh Ninh BÌnh,188751,Trụ sở UBND TP Nam Định hiện nay,19921175
4Lê Thanh Nghị,phường,"Phường Tân Bình, Phường Thanh Bình, Phường Lê Thanh Nghị, Phường Trần Phú",8.04,Lê Thanh Nghị,thành phố Hải Phòng,81500,"Trụ sở cũ của Đảng ủy, HĐND, UBND Tân Bình",8111544
4Thành Đông,phường,"Phường Cẩm Thượng, Phường Bình Hàn, Phường Nguyễn Trãi, Xã An Thượng",12.22,Thành Đông,thành phố Hải Phòng,50307,"Trụ sở cũ của Đảng ủy, HĐND, UBND và Công an Cẩm Thượng",12350056
4Thạch Khôi,phường,"Phường Thạch Khôi, Xã Gia Xuyên, Xã Liên Hồng, Xã Thống Nhất",19.94,Thạch Khôi,thành phố Hải Phòng,34432,"Trụ sở của Đảng ủy, HĐND, UBND Thạch Khôi hiện tại",20078823
9Âu Lâu,phường,"Phường Hợp Minh, Xã Giới Phiên, Xã Minh Quân, Xã Âu Lâu",66.17,Âu Lâu,tỉnh Lào Cai,23245,đang cập nhật,65624960
9Văn Phú,phường,"Phường Yên Thịnh, Xã Tân Thịnh (thành phố Yên Bái), Xã Văn Phú, Xã Phú Thịnh",51.46,Văn Phú,tỉnh Lào Cai,26573,đang cập nhật,52030030
6Yên Sơn,phường,"Phường Tân Bình, Xã Quảng Lạc, Xã Yên Sơn",35.86,Yên Sơn,tỉnh Ninh BÌnh,21196,Trụ sở xã Yên Sơn hiện nay,36237168
6Yên Thắng,phường,"Xã Yên Thắng (huyện Yên Mô), Xã Khánh Thượng, Phường Yên Bình",29.95,Yên Thắng,tỉnh Ninh BÌnh,28405,Trụ sở xã Yên Thắng hiện nay,32307493
6Tam Điệp,phường,"Phường Bắc Sơn, Phường Tây Sơn, Xã Quang Sơn",41.2,Tam Điệp,tỉnh Ninh BÌnh,26845,Trụ sở Thành ủy - HĐND - UBND TP Tam Điệp hiện nay,41542734
4Ái Quốc,phường,"Phường Ái Quốc, Xã Quyết Thắng, Xã Hồng Lạc",17.6,Ái Quốc,thành phố Hải Phòng,24736,"Trụ sở Đảng ủy, HĐND, UBND Ái Quốc hiện tại",17678047
4Nhị Chiểu,phường,"Phường Tân Dân (thị xã Kinh Môn), Phường Minh Tân, Phường Duy Tân, Phường Phú Thứ",39.28,Nhị Chiểu,thành phố Hải Phòng,43799,"Trụ sở cũ của Đảng ủy, HĐND, UBND Phú Thứ",39523874
4Bắc An Phụ,phường,"Phường Thất Hùng, Xã Bạch Đằng (thị xã Kinh Môn), Xã Lê Ninh, Phường Văn Đức",26.1,Bắc An Phụ,thành phố Hải Phòng,22780,"Trụ sở cũ của Đảng ủy, HĐND, UBND Bạch Đằng",26048087
4Chí Linh,phường,"Phường Phả Lại, Phường Cổ Thành, Xã Nhân Huệ",26.79,Chí Linh,thành phố Hải Phòng,31983,"Trụ sở cũ của Đảng ủy, HĐND, UBND Phả Lại",27039481
4Chu Văn An,phường,"Phường Sao Đỏ, Phường Văn An, Phường Chí Minh, Phường Thái Học, Phường Cộng Hòa, Phường Văn Đức",40.86,Chu Văn An,thành phố Hải Phòng,56251,"Trụ sở cũ của Thành ủy, HĐND, UBND TP Chí Linh",40922901
6Hồng Quang,phường,"Xã Hồng Quang (huyện Nam Trực), Xã Nghĩa An, Phường Nam Vân",27.53,Hồng Quang,tỉnh Ninh BÌnh,35784,Trụ sở xã Hồng Quang hiện nay,28015284
6Thiên Trường,phường,"Phường Lộc Hạ, Xã Mỹ Tân, Xã Mỹ Trung",20.53,Thiên Trường,tỉnh Ninh BÌnh,31031,Trụ sở phường Lộc Hạ hiện nay,20750146
6Trường Thi,phường,"Phường Trường Thi, Xã Thành Lợi",31.5,Trường Thi,tỉnh Ninh BÌnh,69988,Trụ sở của xã Thành Lợi hiện nay,31780631
6Vị Khê,phường,"Xã Nam Điền (huyện Nam Trực), Phường Nam Phong",25.27,Vị Khê,tỉnh Ninh BÌnh,36210,Trụ sở xã Nam Điền hiện nay,24938126
9Nghĩa Lộ,phường,"Phường Tân An, Phường Pú Trạng, Xã Nghĩa An, Xã Nghĩa Sơn",17.07,Nghĩa Lộ,tỉnh Lào Cai,73556,đang cập nhật,30116240
9Cam Đường,phường,"Phường Nam Cường (thành phố Lào Cai), Phường Xuân Tăng, Phường Pom Hán, Phường Bắc Cường, Phường Bắc Lệnh, Phường Bình Minh, Xã Cam Đường",59.9,Cam Đường,tỉnh Lào Cai,67877,"Đường Nguyễn Hữu An, Phường Cam Đường (Trụ sở Phường Bình Minh cũ)",60530708
4Trần Liễu,phường,"Phường An Phụ, Xã Hiệp Hòa, Xã Thượng Quận",23.87,Trần Liễu,thành phố Hải Phòng,26696,"Trụ sở cũ của Đảng ủy, HĐND, UBND Thượng Quận",24005468
4Hải Dương,phường,"Phường Trần Hưng Đạo (thành phố Hải Dương), Phường Nhị Châu, Phường Ngọc Châu, Phường Quang Trung",6.51,Hải Dương,thành phố Hải Phòng,51522,"Trụ sở HĐND, UBND TP Hải Dương hiện tại",6441933
4Ngô Quyền,phường,"Phường Máy Chai, Phường Vạn Mỹ, Phường Cầu Tre, Phường Gia Viên, Phường Đông Khê",5.81,Ngô Quyền,thành phố Hải Phòng,88595,"226 Lê Lai (trụ sở cơ quan Đảng)
46 Lê Lai (UBND, Trung tâm phục vụ hành chính công)",5836953
4Đông Hải,phường,"Phường Đông Hải 1, Phường Đông Hải 2, Phường Nam Hải",57.65,Đông Hải,thành phố Hải Phòng,50748,"– Số 40 đường Nam Phong (trụ sở cơ quan Đảng)
– Số 433 đường Đông Hải (trụ sở HĐND, UBND, Trung tâm Phục vụ Hành chính công)",43957209
4Thủy Nguyên,phường,"Phường Dương Quan, Phường Thủy Đường, Phường Hoa Động, Phường An Lư, Phường Thủy Hà",45.34,Thủy Nguyên,thành phố Hải Phòng,71731,Trụ sở của UBND TP Thủy Nguyên hiện tại,45004308
4Nam Triệu,phường,"Phường Nam Triệu Giang, Phường Lập Lễ, Phường Tam Hưng",29.51,Nam Triệu,thành phố Hải Phòng,40224,Trụ sở cũ của UBND Nam Triệu Giang,29565589
9Lào Cai,phường,"Phường Duyên Hải, Phường Cốc Lếu, Phường Kim Tân, Phường Lào Cai, Xã Vạn Hòa, Xã Bản Phiệt",72.32,Lào Cai,tỉnh Lào Cai,76981,"Số 591 đường Hoàng Liên, Phường Lào Cai (Trụ sở HĐND&UBND thành phố Lào Cai cũ)",72927972
