khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
2Chũ,phường,"Phường Thanh Hải, Phường Hồng Giang, Phường Trù Hựu, Phường Chũ",57.18,Chũ,tỉnh Bắc Ninh,58409,"Trụ sở Đảng ủy, HĐND, UBND phường Chũ (cũ)",69272846
2Phượng Sơn,phường,"Phường Phượng Sơn, Xã Quý Sơn, Xã Mỹ An",78.74,Phượng Sơn,tỉnh Bắc Ninh,41342,"Trụ sở Đảng ủy, HĐND, UBND phường Phượng Sơn (cũ)",79231678
2Vũ Ninh,phường,"Phường Kim Chân, Phường Đáp Cầu, Phường Thị Cầu, Phường Vũ Ninh",13.43,Vũ Ninh,tỉnh Bắc Ninh,45480,"Trụ sở Đảng ủy, HĐND, UBND phường Thị Cầu (cũ)",13372416
2Kinh Bắc,phường,"Phường Suối Hoa, Phường Tiền Ninh Vệ, Phường Vạn An, Phường Hòa Long, Phường Khúc Xuyên, Phường Kinh Bắc",19.95,Kinh Bắc,tỉnh Bắc Ninh,84275,Trụ sở Thành ủy và UBND TP Bắc Ninh. (cũ),19938013
2Võ Cường,phường,"Phường Đại Phúc, Phường Phong Khê, Phường Võ Cường",18.08,Võ Cường,tỉnh Bắc Ninh,67255,"Trụ sở Đảng ủy, HĐND, UBND phường Võ Cường (cũ)",18183780
2Bắc Giang,phường,"Phường Thọ Xương, Phường Ngô Quyền, Phường Xương Giang, Phường Hoàng Văn Thụ, Phường Trần Phú, Phường Dĩnh Kế, Phường Dĩnh Trì",23.23,Bắc Giang,tỉnh Bắc Ninh,122838,"Trụ sở Đảng ủy, HĐND, UBND phường Hoàng Văn Thụ (cũ)",23377145
2Đa Mai,phường,"Phường Tân Mỹ, Phường Mỹ Độ, Phường Song Mai, Phường Đa Mai, Xã Quế Nham",33.1,Đa Mai,tỉnh Bắc Ninh,51733,"Trụ sở Đảng ủy, HĐND, UBND phường Đa Mai (cũ)",33214414
2Tiền Phong,phường,"Phường Nội Hoàng, Phường Song Khê, Phường Đồng Sơn, Phường Tiền Phong",30.7,Tiền Phong,tỉnh Bắc Ninh,36335,"Trụ sở Đảng ủy, HĐND, UBND phường Đồng Sơn (cũ)",30864338
2Yên Dũng,phường,"Phường Tân Liễu, Phường Nham Biền, Xã Yên Lư",52.42,Yên Dũng,tỉnh Bắc Ninh,44149,"Trụ sở Đảng ủy, HĐND, UBND phường Nham Biền (cũ)",52804998
2Tân An,phường,"Phường Tân An, Xã Quỳnh Sơn, Xã Trí Yên, Xã Lãng Sơn",42.87,Tân An,tỉnh Bắc Ninh,37816,"Trụ sở Đảng ủy, HĐND, UBND phường Tâm An (cũ)",43073634
